run_id,objective,selected_threshold,default_accuracy,default_balanced_accuracy,default_sensitivity,default_specificity,default_f1,default_auroc,selected_accuracy,selected_balanced_accuracy,selected_sensitivity,selected_specificity,selected_f1,selected_auroc
byol_resnet18_phash_e25_finetune_10pct_seed7_e10,youden,0.7345640659332275,0.9320327249842668,0.9246325185671442,0.9843225083986562,0.8649425287356322,0.9421221864951769,0.9937412312880515,0.9723096286972939,0.975363941769317,0.9507278835386338,1.0,0.9747416762342136,0.9937412312880515
byol_resnet18_phash_e25_finetune_10pct_seed7_e10,sensitivity_90,0.7345640659332275,0.9320327249842668,0.9246325185671442,0.9843225083986562,0.8649425287356322,0.9421221864951769,0.9937412312880515,0.9723096286972939,0.975363941769317,0.9507278835386338,1.0,0.9747416762342136,0.9937412312880515
byol_resnet18_phash_e25_finetune_50pct_e10,balanced_accuracy,0.6433063745498657,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9984779446782769,0.9937067337948395,0.993450013515079,0.9955207166853304,0.9913793103448276,0.9944071588366891,0.9984779446782769
byol_resnet18_phash_e25_finetune_50pct_e10,f1,0.6433063745498657,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9984779446782769,0.9937067337948395,0.993450013515079,0.9955207166853304,0.9913793103448276,0.9944071588366891,0.9984779446782769
byol_resnet18_phash_e25_finetune_50pct_e10,youden,0.6433063745498657,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9984779446782769,0.9937067337948395,0.993450013515079,0.9955207166853304,0.9913793103448276,0.9944071588366891,0.9984779446782769
byol_resnet18_phash_e25_finetune_50pct_e10,sensitivity_90,0.6433063745498657,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9984779446782769,0.9937067337948395,0.993450013515079,0.9955207166853304,0.9913793103448276,0.9944071588366891,0.9984779446782769
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,balanced_accuracy,0.844508945941925,0.9534298300818125,0.9474730020208262,0.9955207166853304,0.8994252873563219,0.9600431965442765,0.9981754643394987,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9981754643394987
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,f1,0.844508945941925,0.9534298300818125,0.9474730020208262,0.9955207166853304,0.8994252873563219,0.9600431965442765,0.9981754643394987,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9981754643394987
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,youden,0.844508945941925,0.9534298300818125,0.9474730020208262,0.9955207166853304,0.8994252873563219,0.9600431965442765,0.9981754643394987,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9981754643394987
byol_resnet18_phash_e25_finetune_50pct_seed123_e10,sensitivity_90,0.844508945941925,0.9534298300818125,0.9474730020208262,0.9955207166853304,0.8994252873563219,0.9600431965442765,0.9981754643394987,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9981754643394987
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,balanced_accuracy,0.46484896540641785,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,f1,0.46484896540641785,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,youden,0.46484896540641785,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762
byol_resnet18_phash_e25_finetune_50pct_seed7_e10,sensitivity_90,0.46484896540641785,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762,0.9848961611076148,0.9833925422507112,0.9955207166853304,0.9712643678160919,0.9866814650388457,0.9976380790567762
resnet18_supervised_phash_10pct_e1,balanced_accuracy,0.45796558260917664,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9929914661929954,0.9653870358716173,0.9679370840895342,0.9473684210526315,0.9885057471264368,0.9685174585002863,0.9929914661929954
resnet18_supervised_phash_10pct_e1,f1,0.45796558260917664,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9929914661929954,0.9653870358716173,0.9679370840895342,0.9473684210526315,0.9885057471264368,0.9685174585002863,0.9929914661929954
resnet18_supervised_phash_10pct_e1,youden,0.45796558260917664,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9929914661929954,0.9653870358716173,0.9679370840895342,0.9473684210526315,0.9885057471264368,0.9685174585002863,0.9929914661929954
resnet18_supervised_phash_10pct_e1,sensitivity_90,0.489277720451355,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9929914661929954,0.946507237256136,0.9524076147816349,0.9048152295632699,1.0,0.9500293944738389,0.9929914661929954
resnet18_supervised_phash_10pct_e10,balanced_accuracy,0.7567132711410522,0.9855254877281309,0.9836354918845168,0.9988801791713325,0.9683908045977011,0.9872717210846708,0.9988737434194437,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9988737434194437
resnet18_supervised_phash_10pct_e10,f1,0.7567132711410522,0.9855254877281309,0.9836354918845168,0.9988801791713325,0.9683908045977011,0.9872717210846708,0.9988737434194437,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9988737434194437
resnet18_supervised_phash_10pct_e10,youden,0.7567132711410522,0.9855254877281309,0.9836354918845168,0.9988801791713325,0.9683908045977011,0.9872717210846708,0.9988737434194437,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9988737434194437
resnet18_supervised_phash_10pct_e10,sensitivity_90,0.7567132711410522,0.9855254877281309,0.9836354918845168,0.9988801791713325,0.9683908045977011,0.9872717210846708,0.9988737434194437,0.9911894273127754,0.9908934110772162,0.9932810750279956,0.9885057471264368,0.9921700223713646,0.9988737434194437
resnet18_supervised_phash_10pct_e5,balanced_accuracy,0.17829658091068268,0.9647577092511013,0.9686450167973124,0.9372900335946248,1.0,0.9676300578034682,0.9982076430989432,0.9817495280050346,0.9815438725206267,0.9832026875699889,0.9798850574712644,0.9837535014005602,0.9982076430989432
resnet18_supervised_phash_10pct_e5,f1,0.17829658091068268,0.9647577092511013,0.9686450167973124,0.9372900335946248,1.0,0.9676300578034682,0.9982076430989432,0.9817495280050346,0.9815438725206267,0.9832026875699889,0.9798850574712644,0.9837535014005602,0.9982076430989432
resnet18_supervised_phash_10pct_e5,youden,0.17829658091068268,0.9647577092511013,0.9686450167973124,0.9372900335946248,1.0,0.9676300578034682,0.9982076430989432,0.9817495280050346,0.9815438725206267,0.9832026875699889,0.9798850574712644,0.9837535014005602,0.9982076430989432
resnet18_supervised_phash_10pct_e5,sensitivity_90,0.43546104431152344,0.9647577092511013,0.9686450167973124,0.9372900335946248,1.0,0.9676300578034682,0.9982076430989432,0.9679043423536816,0.971444568868981,0.9428891377379619,1.0,0.9706051873198848,0.9982076430989432
resnet18_supervised_phash_10pct_seed123_e1,balanced_accuracy,0.443881094455719,0.920704845814978,0.9294512877939529,0.858902575587906,1.0,0.9240963855421687,0.9740446126320939,0.920704845814978,0.9240629545249772,0.896976483762598,0.9511494252873564,0.9270833333333334,0.9740446126320939
resnet18_supervised_phash_10pct_seed123_e1,f1,0.443881094455719,0.920704845814978,0.9294512877939529,0.858902575587906,1.0,0.9240963855421687,0.9740446126320939,0.920704845814978,0.9240629545249772,0.896976483762598,0.9511494252873564,0.9270833333333334,0.9740446126320939
resnet18_supervised_phash_10pct_seed123_e1,youden,0.443881094455719,0.920704845814978,0.9294512877939529,0.858902575587906,1.0,0.9240963855421687,0.9740446126320939,0.920704845814978,0.9240629545249772,0.896976483762598,0.9511494252873564,0.9270833333333334,0.9740446126320939
resnet18_supervised_phash_10pct_seed123_e1,sensitivity_90,0.443881094455719,0.920704845814978,0.9294512877939529,0.858902575587906,1.0,0.9240963855421687,0.9740446126320939,0.920704845814978,0.9240629545249772,0.896976483762598,0.9511494252873564,0.9270833333333334,0.9740446126320939
resnet18_supervised_phash_10pct_seed123_e10,balanced_accuracy,0.6990219354629517,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9989541903180549,0.9924480805538074,0.9920132319058836,0.9955207166853304,0.9885057471264368,0.9932960893854749,0.9989541903180549
resnet18_supervised_phash_10pct_seed123_e10,f1,0.6990219354629517,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9989541903180549,0.9924480805538074,0.9920132319058836,0.9955207166853304,0.9885057471264368,0.9932960893854749,0.9989541903180549
resnet18_supervised_phash_10pct_seed123_e10,youden,0.6990219354629517,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9989541903180549,0.9924480805538074,0.9920132319058836,0.9955207166853304,0.9885057471264368,0.9932960893854749,0.9989541903180549
resnet18_supervised_phash_10pct_seed123_e10,sensitivity_90,0.6990219354629517,0.9817495280050346,0.9796421078374586,0.9966405375139977,0.9626436781609196,0.9839690436705362,0.9989541903180549,0.9924480805538074,0.9920132319058836,0.9955207166853304,0.9885057471264368,0.9932960893854749,0.9989541903180549
resnet18_supervised_phash_10pct_seed7_e1,balanced_accuracy,0.5160716772079468,0.9175582127123977,0.9241160494780605,0.8712206047032475,0.9770114942528736,0.9223473621813871,0.9626887284241418,0.9238514789175583,0.9316169183045655,0.8689809630459127,0.9942528735632183,0.9276748356246264,0.9626887284241418
resnet18_supervised_phash_10pct_seed7_e1,f1,0.5069211721420288,0.9175582127123977,0.9241160494780605,0.8712206047032475,0.9770114942528736,0.9223473621813871,0.9626887284241418,0.9194461925739459,0.9264297022821176,0.8701007838745801,0.9827586206896551,0.9239001189060642,0.9626887284241418
resnet18_supervised_phash_10pct_seed7_e1,youden,0.5160716772079468,0.9175582127123977,0.9241160494780605,0.8712206047032475,0.9770114942528736,0.9223473621813871,0.9626887284241418,0.9238514789175583,0.9316169183045655,0.8689809630459127,0.9942528735632183,0.9276748356246264,0.9626887284241418
resnet18_supervised_phash_10pct_seed7_e1,sensitivity_90,0.4546509087085724,0.9175582127123977,0.9241160494780605,0.8712206047032475,0.9770114942528736,0.9223473621813871,0.9626887284241418,0.8930144745122719,0.8915028767810943,0.9036954087346024,0.8793103448275862,0.9047085201793722,0.9626887284241418
resnet18_supervised_phash_10pct_seed7_e10,balanced_accuracy,0.8434635996818542,0.9710509754562618,0.9679049053300897,0.9932810750279956,0.9425287356321839,0.9747252747252747,0.9973162914623315,0.9660163624921334,0.9669121906012279,0.9596864501679732,0.9741379310344828,0.9694570135746606,0.9973162914623315
resnet18_supervised_phash_10pct_seed7_e10,f1,0.5411961078643799,0.9710509754562618,0.9679049053300897,0.9932810750279956,0.9425287356321839,0.9747252747252747,0.9973162914623315,0.9741976085588421,0.9719723005238702,0.9899216125419933,0.9540229885057471,0.9773355444997236,0.9973162914623315
resnet18_supervised_phash_10pct_seed7_e10,youden,0.8434635996818542,0.9710509754562618,0.9679049053300897,0.9932810750279956,0.9425287356321839,0.9747252747252747,0.9973162914623315,0.9660163624921334,0.9669121906012279,0.9596864501679732,0.9741379310344828,0.9694570135746606,0.9973162914623315
resnet18_supervised_phash_10pct_seed7_e10,sensitivity_90,0.8434635996818542,0.9710509754562618,0.9679049053300897,0.9932810750279956,0.9425287356321839,0.9747252747252747,0.9973162914623315,0.9660163624921334,0.9669121906012279,0.9596864501679732,0.9741379310344828,0.9694570135746606,0.9973162914623315
resnet18_supervised_phash_25pct_e1,balanced_accuracy,0.2481936663389206,0.9320327249842668,0.9395296752519597,0.8790593505039194,1.0,0.9356376638855781,0.9937283597842735,0.9546884833228445,0.9574677247042772,0.93505039193729,0.9798850574712644,0.9586681974741676,0.9937283597842735
resnet18_supervised_phash_25pct_e1,f1,0.16892758011817932,0.9320327249842668,0.9395296752519597,0.8790593505039194,1.0,0.9356376638855781,0.9937283597842735,0.960352422907489,0.9574355459448327,0.9809630459126539,0.9339080459770115,0.9652892561983472,0.9937283597842735
resnet18_supervised_phash_25pct_e1,youden,0.2481936663389206,0.9320327249842668,0.9395296752519597,0.8790593505039194,1.0,0.9356376638855781,0.9937283597842735,0.9546884833228445,0.9574677247042772,0.93505039193729,0.9798850574712644,0.9586681974741676,0.9937283597842735
resnet18_supervised_phash_25pct_e1,sensitivity_90,0.36632347106933594,0.9320327249842668,0.9395296752519597,0.8790593505039194,1.0,0.9356376638855781,0.9937283597842735,0.948395217117684,0.9540873460246361,0.9081746920492721,1.0,0.9518779342723005,0.9937283597842735
resnet18_supervised_phash_25pct_seed123_e1,balanced_accuracy,0.16819089651107788,0.933291378225299,0.9406494960806271,0.8812989921612542,1.0,0.9369047619047619,0.9962125600133863,0.9786028949024543,0.9784273596684301,0.9798432250839866,0.9770114942528736,0.9809417040358744,0.9962125600133863
resnet18_supervised_phash_25pct_seed123_e1,f1,0.16819089651107788,0.933291378225299,0.9406494960806271,0.8812989921612542,1.0,0.9369047619047619,0.9962125600133863,0.9786028949024543,0.9784273596684301,0.9798432250839866,0.9770114942528736,0.9809417040358744,0.9962125600133863
resnet18_supervised_phash_25pct_seed123_e1,youden,0.16819089651107788,0.933291378225299,0.9406494960806271,0.8812989921612542,1.0,0.9369047619047619,0.9962125600133863,0.9786028949024543,0.9784273596684301,0.9798432250839866,0.9770114942528736,0.9809417040358744,0.9962125600133863
resnet18_supervised_phash_25pct_seed123_e1,sensitivity_90,0.24000339210033417,0.933291378225299,0.9406494960806271,0.8812989921612542,1.0,0.9369047619047619,0.9962125600133863,0.960352422907489,0.9644086831164485,0.9316909294512878,0.9971264367816092,0.9635205558772437,0.9962125600133863
resnet18_supervised_phash_25pct_seed7_e1,balanced_accuracy,0.356366366147995,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9876079597379362,0.9295154185022027,0.9271472886177292,0.9462486002239642,0.9080459770114943,0.9378468368479467,0.9876079597379362
resnet18_supervised_phash_25pct_seed7_e1,f1,0.32652780413627625,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9876079597379362,0.9288860918816866,0.9246856135202275,0.9585666293393057,0.8908045977011494,0.938082191780822,0.9876079597379362
resnet18_supervised_phash_25pct_seed7_e1,youden,0.356366366147995,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9876079597379362,0.9295154185022027,0.9271472886177292,0.9462486002239642,0.9080459770114943,0.9378468368479467,0.9876079597379362
resnet18_supervised_phash_25pct_seed7_e1,sensitivity_90,0.4467034637928009,0.9427312775330396,0.9490481522956327,0.8980963045912654,1.0,0.9463126843657818,0.9876079597379362,0.9553178099433606,0.9602463605823068,0.9204927211646137,1.0,0.958600583090379,0.9876079597379362
resnet18_supervised_phash_50pct_e1,balanced_accuracy,0.32423946261405945,0.9842668344870988,0.9860022396416573,0.9720044792833147,1.0,0.9858035207268597,0.9991536986266104,0.9899307740717432,0.9910414333706608,0.9820828667413214,1.0,0.9909604519774011,0.9991536986266104
resnet18_supervised_phash_50pct_e1,f1,0.32423946261405945,0.9842668344870988,0.9860022396416573,0.9720044792833147,1.0,0.9858035207268597,0.9991536986266104,0.9899307740717432,0.9910414333706608,0.9820828667413214,1.0,0.9909604519774011,0.9991536986266104
resnet18_supervised_phash_50pct_e1,youden,0.32423946261405945,0.9842668344870988,0.9860022396416573,0.9720044792833147,1.0,0.9858035207268597,0.9991536986266104,0.9899307740717432,0.9910414333706608,0.9820828667413214,1.0,0.9909604519774011,0.9991536986266104
resnet18_supervised_phash_50pct_e1,sensitivity_90,0.32423946261405945,0.9842668344870988,0.9860022396416573,0.9720044792833147,1.0,0.9858035207268597,0.9991536986266104,0.9899307740717432,0.9910414333706608,0.9820828667413214,1.0,0.9909604519774011,0.9991536986266104
resnet18_supervised_phash_50pct_e10,balanced_accuracy,0.3283214271068573,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883
resnet18_supervised_phash_50pct_e10,f1,0.3283214271068573,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883
resnet18_supervised_phash_50pct_e10,youden,0.3283214271068573,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883
resnet18_supervised_phash_50pct_e10,sensitivity_90,0.3283214271068573,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990796874798883
resnet18_supervised_phash_50pct_e25,balanced_accuracy,0.43436399102211,0.9943360604153556,0.9940099239294127,0.9966405375139977,0.9913793103448276,0.994969256567915,0.999070033852055,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.999070033852055
resnet18_supervised_phash_50pct_e25,f1,0.43436399102211,0.9943360604153556,0.9940099239294127,0.9966405375139977,0.9913793103448276,0.994969256567915,0.999070033852055,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.999070033852055
resnet18_supervised_phash_50pct_e25,youden,0.43436399102211,0.9943360604153556,0.9940099239294127,0.9966405375139977,0.9913793103448276,0.994969256567915,0.999070033852055,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.999070033852055
resnet18_supervised_phash_50pct_e25,sensitivity_90,0.43436399102211,0.9943360604153556,0.9940099239294127,0.9966405375139977,0.9913793103448276,0.994969256567915,0.999070033852055,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.999070033852055
resnet18_supervised_phash_50pct_e5,balanced_accuracy,0.25167250633239746,0.9949653870358716,0.9955207166853304,0.9910414333706606,1.0,0.9955005624296963,0.999481921972944,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.999481921972944
resnet18_supervised_phash_50pct_e5,f1,0.25167250633239746,0.9949653870358716,0.9955207166853304,0.9910414333706606,1.0,0.9955005624296963,0.999481921972944,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.999481921972944
resnet18_supervised_phash_50pct_e5,youden,0.25167250633239746,0.9949653870358716,0.9955207166853304,0.9910414333706606,1.0,0.9955005624296963,0.999481921972944,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.999481921972944
resnet18_supervised_phash_50pct_e5,sensitivity_90,0.25167250633239746,0.9949653870358716,0.9955207166853304,0.9910414333706606,1.0,0.9955005624296963,0.999481921972944,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.999481921972944
resnet18_supervised_phash_50pct_seed123_e10,balanced_accuracy,0.515183687210083,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217
resnet18_supervised_phash_50pct_seed123_e10,f1,0.515183687210083,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217
resnet18_supervised_phash_50pct_seed123_e10,youden,0.515183687210083,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217
resnet18_supervised_phash_50pct_seed123_e10,sensitivity_90,0.515183687210083,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217,0.9981120201384519,0.9983202687569989,0.9966405375139977,1.0,0.9983174425126192,0.9990603802242217
resnet18_supervised_phash_50pct_seed7_e10,balanced_accuracy,0.5931321978569031,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105
resnet18_supervised_phash_50pct_seed7_e10,f1,0.5931321978569031,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105
resnet18_supervised_phash_50pct_seed7_e10,youden,0.5931321978569031,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105
resnet18_supervised_phash_50pct_seed7_e10,sensitivity_90,0.5931321978569031,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105,0.9905601006922593,0.9896995791018264,0.9966405375139977,0.9827586206896551,0.9916434540389972,0.9990957768596105
resnet18_supervised_phash_5pct_e1,balanced_accuracy,0.4348977208137512,0.8105726872246696,0.8314669652855543,0.6629339305711086,1.0,0.7973063973063973,0.9733559871799822,0.9062303335431089,0.9013592307989342,0.9406494960806271,0.8620689655172413,0.918534718425369,0.9733559871799822
resnet18_supervised_phash_5pct_e1,f1,0.4348977208137512,0.8105726872246696,0.8314669652855543,0.6629339305711086,1.0,0.7973063973063973,0.9733559871799822,0.9062303335431089,0.9013592307989342,0.9406494960806271,0.8620689655172413,0.918534718425369,0.9733559871799822
resnet18_supervised_phash_5pct_e1,youden,0.4348977208137512,0.8105726872246696,0.8314669652855543,0.6629339305711086,1.0,0.7973063973063973,0.9733559871799822,0.9062303335431089,0.9013592307989342,0.9406494960806271,0.8620689655172413,0.918534718425369,0.9733559871799822
resnet18_supervised_phash_5pct_e1,sensitivity_90,0.4446273148059845,0.8105726872246696,0.8314669652855543,0.6629339305711086,1.0,0.7973063973063973,0.9733559871799822,0.906859660163625,0.9054057097990758,0.9171332586786114,0.8936781609195402,0.9171332586786114,0.9733559871799822
simclr_resnet18_phash_e25_finetune_05pct_e1,balanced_accuracy,0.3388940989971161,0.5594713656387665,0.6080627099664053,0.21612541993281076,1.0,0.35543278084714547,0.9367301231802913,0.815607300188798,0.8261204644038563,0.7413213885778276,0.9109195402298851,0.8188002473716759,0.9367301231802913
simclr_resnet18_phash_e25_finetune_05pct_e1,f1,0.2759895920753479,0.5594713656387665,0.6080627099664053,0.21612541993281076,1.0,0.35543278084714547,0.9367301231802913,0.8672120830711139,0.8587207655970447,0.9272116461366181,0.7902298850574713,0.8869844670594537,0.9367301231802913
simclr_resnet18_phash_e25_finetune_05pct_e1,youden,0.3388940989971161,0.5594713656387665,0.6080627099664053,0.21612541993281076,1.0,0.35543278084714547,0.9367301231802913,0.815607300188798,0.8261204644038563,0.7413213885778276,0.9109195402298851,0.8188002473716759,0.9367301231802913
simclr_resnet18_phash_e25_finetune_05pct_e1,sensitivity_90,0.2759895920753479,0.5594713656387665,0.6080627099664053,0.21612541993281076,1.0,0.35543278084714547,0.9367301231802913,0.8672120830711139,0.8587207655970447,0.9272116461366181,0.7902298850574713,0.8869844670594537,0.9367301231802913
simclr_resnet18_phash_e25_finetune_10pct_e1,balanced_accuracy,0.4211175739765167,0.9307740717432348,0.9384098544232923,0.8768197088465846,1.0,0.9343675417661098,0.9711099097707586,0.9534298300818125,0.9585666293393057,0.9171332586786114,1.0,0.9567757009345794,0.9711099097707586
